Correct, Wrong
kisi, kisp	kisin	ekisi	vkisi	kipi	kfisi	kisil	kisx	kisiy
film, fiylm	zfilm	filnm	pilm	filz
pehlay, ephlay	paehlay
dekha, deskha	depkha	mekha	dekhf	ddkha	xdekha	dektha	devkha	dvkha	idekha
tum, tunm	tumt	tumd	tmu	tcum	tubm	dtum	xum	rtum
bhai, xhai	bhaie	bhzai	bhaf	bhal	bwhai	bhli	ghai	bhji
log, logw	logp	logr
baad, bvad	oaad	baafd	baald
or, xor	ocr	qor	orx	eor
baar, byaar	baanr	baai	baaq	baadr	bagr	baxar	baarp
tor, tov
ghum, ighum	gmum	ghugm
acha, iacha
khud, vhud
apne, mapne	apnxe
har, hcr
sir, sifr	sjr	snir	sip	shr	sihr	seir	tsir	siyr	vsir
baray, obaray
nhi, pnhi	nhdi	ihi	nhih	nohi	nkhi	nwhi
wahan, awhan	walhan	wahau	wahah	wahanb	wphan	wrhan	wahavn	wzahan
hota, hotna	hocta
allag, allal	vallag	allyg
apna, ajpna	apnah	apnaj	aena	apnaf	wpna	bapna	apnab	apnf
jana, yana	janap	jhna	janoa	jmana	jfna
lagta, lagtn	lbagta	lcagta	lagcta	lagbta	lagmta	ltgta	lmgta	lagyta	lagita
um, umn	ucm	wum	ukm	m	umc	uwm	uzm
the, tvhe	tfhe
kahan, kbahan
pichla, qichla	pichlaa	spichla	picwhla
saka, caka	sraka	sakv	sakla	sakah	sdka	sakfa
kaam, klam	paam	kaahm	kgam	kacm	wkaam	kaaom	kaxam	vaam	ikaam
ziyada, zifada	ziyadan	ziyadja	oiyada	ziyvda	zivyada	ziyida	niyada
kabhi, kaibhi	ykabhi	kafhi	kaubhi	kabhwi	kabni	kabhki
yahan, yahaz	xyahan	qyahan	yaian	yahag	kyahan	wyahan
kam, mkam	kqm
aadmi, xaadmi	azdmi	qaadmi	aakmi	aadma	aadmiy	aacdmi	aadmoi
aawaz, aataz	atawaz	cawaz	aaaz	laawaz	amawaz
thi, thdi	cthi	vthi	thxi	thif
ja, jja	jaq	jq	hja	jv	tja
de, deq	dve	sde	yde	def	dte	zde	vde	rde	dfe
ap, dap
ha, haf	hma	hza	hka	hax	hfa	hac
neechay, nreechay	neechey	reechay	kneechay	neenchay	neectay
ai, aui	axi	aip	aiv	i
in, inz	inm	imn	iyn	inb	qin
din, pdin	dinj	dxn	dind	dinp	dine	dfn
nah, nafh	naq	navh	jnah	nqh	qah	nrh	qnah	nahv
taraf, tasraf	tlaraf	tkraf	tarof	tarqf	tarafn	tarmaf	tarao	tarazf	qaraf
liya, lirya	nliya	liywa
mazeed, mizeed	mazeedi	mazjeed	mazyeed	mazeked	mauzeed	fmazeed	mazede	mazered
bazariya, bazariyaw	mazariya
karta, karqa
apni, avpni	apnm	apnci
llah, ilah	lladh	lvlah	sllah	mlah	lleh	lloah	llaq	llaa
le, lne	lpe	lse
kr, krb	ktr	tkr	ckr	kvr	xkr	kgr	krg	krj	ekr
dekhna, dpkhna	dekhsa
fsos, fvsos	gsos	fswos	fsyos	sfos	fsosk	fzos	fmsos
kon, klon	kox	okon	koc	mkon	qon	konq	kzon
and, tnd	andb	mnd
dil, dmil	iil	drl	dilz	dzl	dipl	udil	dul	diln	djil
wo, woq	wio
am, amh	vam	amt	aom	m	akm	awm
haath, haawh	hakath	hlath	hqaath
toh, tqoh	tyoh	toyh	tohw	toah	toph	jtoh
band, balnd	bcnd	bwnd	baynd	bnand	mband	bynd	aband	vand	tband
bana, hbana	bgna
shuru, shury
ar, xr	anr	arc	rar	acr
usay, uqsay	iusay	ushay	usaye	usary	usau	usmay	ucsay	usaey
cheez, mheez
achi, achji	achfi	acci	achiv	apchi	mchi
aakhir, aakhiy	kakhir	aakhirj	naakhir
dar, darp	diar	daz	dsr	xar	dgar
gussa, ggussa	gussea	gusksa	wgussa	gusba	gusra	guossa
pe, upe	npe	pv
rahe, rdhe	rathe	roahe
koshish, koxshish	okshish	koshoish	koshgish	koshisbh	ooshish
ankhen, ankher
aa, eaa	xaa	zaa	oaa	aua
khayaal, khayaaly	khaoyaal	ghayaal	khayxal	gkhayaal	khayiaal	khaxaal	kdhayaal	khayaak
of, f
abhi, albhi	abhfi	ybhi	abhhi	abhbi	ebhi	abohi
rakhna, raphna
rahay, rahmay	rakay	xrahay	rahfy	wahay	rhaay	rahayw
aisa, sisa	aioa	afsa	ahsa	tisa	aijsa	aispa	aisau	aisad
you, yoq	ydou	cyou	yobu	yoqu	yeou	youu	yyou	yosu	yjou
pictwittercom, pictwitfercom	pictwittyrcom	pictwitterconm	pictwnttercom	pictwictercom	pictwitwercom	pictwiittercom
main, maicn	macin	mwain
kyun, kyucn	kuyn	kyunw
karte, kartoe	skarte	nkarte
rahi, rahqi	rami	raii	wrahi	raui	rahiz
ek, vek	pek	enk	evk	ekq	ekm	ekw	ekb
bara, barab	bdara	barau	fbara	baraw	baria
aaya, aayx	aabya	aayk	oaaya	kaaya	aayla	aayae	aaea	akaya
hue, huxe	dhue	jhue
dosra, dosrav	vosra	gosra	docsra
shayad, shnyad	shayac	shbyad
tu, tuy	tuq	tdu	tlu	ytu	tud	ltu	tyu	tgu
jata, jaua
naam, mnaam	naahm	naxam	nqaam	nram	noaam	naamh	nauam	nabm
paana, yaana
gird, giyd	gfird	giord	mird	gmird	eird
jawab, njawab	jiawab	jsawab	fawab	jnwab	jaawab	jawaob
hamesha, hameshab
zameen, szameen	zhmeen	ziameen	zuameen	zameey	zgmeen	zamfeen	zamneen	zamzen
zabardast, zabardvst	zabaruast	zabardkst	wabardast	zabarvast	zabcrdast	zabardastz	zabardafst	zabtrdast
aana, aavna
ghar, zghar	ghai	tghar	gdar	ghqar	guar	ghaor	ghoar	ghaj	ghaqr
zaroorat, zaroorut	nzaroorat	zaroorvt
paas, gaas	paos	plas	ypaas	paav	pazas	plaas	paqas	puas
zindagi, zsindagi	zindgai	zindygi	wzindagi	zimdagi
di, diq	dsi	dfi	dvi	wdi	ydi	mdi
nazar, nazxar	nazarn	nazas	nazaw	nazarw	nvzar	nazvar	qazar	nauzar	nazwr
hamein, thamein	havein	hameif	hanmein	himein
sa, xsa	saq	s	sxa	saj	sac	sva	sqa	sca
zariye, zaaiye	zarihye	zairiye	zarpiye	zakiye	zariyce	zaribe	zzariye
ird, irdj	irdo	uird	irpd	irg	jrd	irdm	irwd	irxd
aaj, aapj	aaxj	vaaj
thora, thorz	wthora	tzhora	thocra	thorar
istemaal, istzemaal	pistemaal	istetaal	istemaay	istemaalv	itemaal	istemaol
bolo, rbolo	bolho	bxlo	bolox	pbolo	bojlo	boko	bolbo	boclo	ebolo
pata, ppta	paoa	pdata	paca	patwa
so, o	sno	sot
janna, oanna	jannq	njanna	jkanna
tumhara, tumhasra	vtumhara	tumhzara	tumharac	tumrara	tumhart	tumhamra
wali, wtali	waliq	walti	cwali	wazli	gwali
mila, milr
jagah, jvagah	xjagah	jagih	jagayh	jagaz
kaisa, kaisam	kaisao	kavsa	kaita	kaiya	kaiua
peechay, peeochay	peechayp	peyechay	pehchay	peechan
sahih, satih	wahih	siahih	jahih	samhih	saehih
agay, agaay	nagay	xagay	zagay	amgay
banana, xanana	banafna
theek, thgeek	ytheek	taeek	theeek	theeki	theekt
bilkul, bilkll	bigkul	bilkdl	bilkult	bimkul	bilekul	bilfkul
rastay, rascay	rasmtay	rastaj	raswtay	grastay	rastvay	raktay
qisam, qisrm	qisaem	qisan	qibam	qinam	qisaq
mere, cere	meare	mekre	mlere	mgre	nmere	merei	mecre
poochna, poochlna	poochnat	poolhna	vpoochna	poochnan	pwochna	poochla	polchna
qabil, qabiv	qabll	qavil	qabilb	qgbil	qabdl	qpabil
aayi, auyi	aawyi	aaii	jaayi	baayi	aayfi
rha, rhsa	rhap	rhd	mrha
ur, uwr	uer	ufr	urg	zur	u	uyr	uhr	urh	ulr
hoti, hotig	hotsi	ghoti	hotui	hqti	hotri	hotji	hotx	hotc
shakhs, shakhst	shlkhs	shhakhs	slakhs	shqakhs	ashakhs	shaxkhs
raat, fraat
ain, aing	aqn	abin	fain	aio	ainp	aixn	aih	aibn
hy, vhy	fy	hyj	hyf	hym	lhy
meri, merl	kmeri	qeri	mehri	merc	qmeri
dono, dkono	donmo	cono
bad, buad	bqd
chahta, hchahta	charhta	cvahta	chahgta	chahtga	chahva	chsahta	chahtl	chalhta
talaash, trlaash	taalash	taladsh	talaeash	talaashl	talaasha
mai, mdai	oai	mxi	mnai	gmai	mayi	dmai	maij
keh, kbeh
yaad, kyaad	yzad	yuad	yaand
ni, nig	niz	jni	nib
haan, hvaan	hahn	hann	hvan	raan	haafn	jhaan	huan	haxan	hakan
lamba, lambao	qamba	lamban	lamboa
jaanta, jaafta	jaantqa	jaantya	jaanda	jaantae	jaynta	joanta	jalanta	jaannta
hamara, hamarb	hamaroa	hamarab
kiya, tiya	ktya	kifya	kibya	ksya
akistan, akostan
kyunkay, kfunkay	kyunkasy	kyunkby	kyunkya	knyunkay	kyunfay	lyunkay	kyudkay	kyunrkay
kiski, dkiski	kiskig	kwiski	koski	kiskii	khiski	kliski	kivski	kiskip	kiskin
ahi, ahic	ahio	qhi	ahei	ahij	ahj	ahqi	ahti	ayhi	ahfi
jaye, javye	jayeo	jmaye	njaye	jayme	jbaye	jave	baye
yaqeen, gyaqeen
kaafi, kaafji	kyaafi	kaamfi	kagafi
chhota, cyhota	chhtota	chhotta	chxota	lhhota	chhopa	cdhhota
nai, oai	naio	noai	nait	nui	nzi	nlai	naid	jnai	nuai
waqai, xaqai	nwaqai	wazqai	waqeai	waqaij	waaqai	wahai	waqawi
pani, panig	pami	epani	ppni	ipani	phni	paniz	fpani
hui, hupi
khara, khzara	kharae	kharla	kkhara	khvra	rkhara
gaye, gayeo	gaae	gayce	gayy	gkaye	gxaye	gafye	igaye
wajah, wtajah	gajah	majah	wajfah	wajaht
no, nyo
chehra, ohehra	rchehra	chqehra	chehda	cheihra	cphehra	chwehra	chehaa	chehraa	pchehra
andar, rndar	arndar	gandar
lena, jena	leia	iena
walay, walvy	walayd	walax	lalay	wavlay	wyalay	walany	walzy	whalay	wpalay
dost, dnst	mdost	dospt	dohst	doast	dokt	kdost	xdost
logon, rogon	oogon
for, vfor	fcor	foe	fwr	fobr	zfor	fdr	folr
pakarna, pkakarna	paksrna	ypakarna	pakaryna	pakarnac
chahiye, chatiye	chamhiye	cthahiye	chahjiye
paish, paisdh	rpaish	paiesh	opaish
ge, geh	gne	geq	gel	rge
saal, wsaal
honay, htnay	hoenay	honiy	honaye	honuay	honday	hsnay	hoxnay	honagy	hognay
chalo, chaloi	tchalo	cahlo	chwalo	cxalo	chlao	chalog	chalox	cfhalo
khana, fkhana
ijazat, ijazatp	ijazaet
daar, zdaar	dcar	dlar	dayr	qdaar
are, arev	zare	vre	asre	arbe
daur, datur	kdaur	dauor	dafur	daucr	daurn	dhaur	dauzr	idaur
pehla, dpehla	fehla	peghla	pehva	pehlau	peahla	peila
hua, huao	hdua	husa	iua	htua	xhua	huha
madad, dmadad	masad	madaad	madgad	ladad	macad
ji, jiv	hji	qji	kji	jip	jq	jri
day, dyy	dafy	sday	daym	yday
lo, xlo	clo	lbo	lor	lqo	lob	ljo
kayi, kakyi	kayhi
on, ons	xon
ban, hban	btan	banw	bakn	banj	bean	btn
kehna, xkehna	mkehna	kehns	kehnd	kecna	kehca	kkhna
karo, kyro	ekaro	kgaro	kagro	kdro
mil, mgil
gayi, gatyi	fgayi	gxayi	gazi	glayi
al, alv	alx	alh
pasand, pasband	paysand	pasrnd	ppasand	pasankd	pasandq	pasajnd	basand	pssand	pasynd
jald, jaly	jafd	jalqd	jamd
isi, isix	psi	isli	iui	isbi	iai	ismi	isih
aam, aasm	iaam	aaxm	aiam	apam	aamd	agm	abam
abardast, abarfast	ababrdast
hu, htu	huf	xhu	hnu	hcu	zhu	ghu
karen, kkren
id, d	ivd	oid	icd	imd	idf	idq	idu
asal, asaj	asagl	asakl
khaas, kuaas	khkaas	khaays	khaast	okhaas
jahaaz, jagaaz	jahaaf
but, butm	tbut	buto	bugt	bdut	bubt	buft	ubt	bvut	bvt
duniya, duniyxa	duniqya	duwiya	dufniya	iduniya	udniya	duniaya	duniha
si, wsi	sdi	svi
chand, xhand	cjhand	ohand	mchand	chmnd	zchand	ckand	chanzd	chanrd	chanxd
mar, mlar
aurat, auratj	aurwat	aurvt	aurab
phirana, pyhirana	phiranar	pwirana	phicana	phiranae	phitrana	phriana	zhirana	pcirana
ehsas, ehsaws	tehsas	eshsas	ehsasm	eisas	ehssa	ezsas	ehjsas	eqsas	lhsas
jaldi, jauldi	jaldri
sy, sys	ysy	sxy
mushkil, musrkil	muschkil
nay, nlay	nhay	nwy	niy
ghair, ghakir	yghair	ehair	ghacr	ghabr	grair	ghgair	ghaiy
aahista, aahistac
aala, aalc	zala	aalja	aalar	aalay	aadla	acala	afala	jaala	aals
your, yocr	yodur	yzur	yomur	cyour	yuour
khatam, ykhatam	wkhatam	xkhatam
umeed, umeud
haasil, hausil	haasbl	phaasil	hayasil	hawsil
logo, cogo	lqgo	zogo	lyogo	jlogo	liogo	lorgo	logjo	lmgo
soch, socg
roshni, rochni	rofshni	roshti	rosjni	roshnz	roshnix	rosdhni	rosnhi	rcshni
era, eaa	ezra
unhon, uonhon	unhonm	unhovn	unhonc
jabkay, jabnay	jaekay	jadkay	jabkly	jasbkay	jaebkay	jabkaye	jabkgay	jakay
pr, prk	ipr	ypr	pqr	px
kamrah, kamcrah	yamrah	kamrahi	komrah	klmrah	krmrah	kamrfah	kamxah	kamraa
behtar, bemhtar	beohtar	behtarx	bwehtar
samajh, samsjh	samujh	samajeh	sasmajh	saemajh
haal, hajal	hpaal
jung, jcng	jlung	vjung	jvng	junpg	jsng	ujung	jjung
aaraam, aariam	aapraam	aaraame
khauf, khoauf	ktauf	khatuf	kmauf	krhauf	wkhauf	khzuf
zaroor, zzaroor	aaroor	zaeroor	zavroor
mehsoos, mehloos
us, ucs	nus	uqs	qus	uos	uts	usr	yus
dosray, dofsray	dosrkay	dosrtay	doszay	dosrya	sdosray
darwaaza, darweaaza	darwaaba	darweaza	darwaaua	darwaazf
halo, halh	halko	haloq
hissa, hissm
han, hdan	hkn
matlab, mastlab	matlajb
say, saey
bandooq, bandtoq	bandooqq	bandmooq	kbandooq	bandooxq	bancooq	basndooq	bandxoq	bxndooq
an, anb	anf	ajn
aah, azh	aahx	aih	aahm
aj, ajy	ajp	xj
sochte, sochste
they, uhey	thex	theg	tqey	thefy	hhey	theby	tfhey	theay	thpey
bat, bxt	bct	blat	baft	babt	xat	wbat
agarchay, agarshay	agarihay	agarpchay	agarchac	agarchjy
it, itt	iyt	rit	izt	ivt	itz	idt	itv	itl	yit
baghair, baghaeir	bvaghair	baghaihr
saaf, seaf	samf	sxaf	savaf	szaf	saafh	tsaaf	laaf
intzaar, izntzaar	intzaae	xntzaar
paon, paoe	paonh	paocn	paom	paoun
mard, mxrd
ulta, ulva	ulxa	ulmta	clta	ultn	nulta	ultav	ulzta	qulta	bulta
hush, hnush	xush	shush	husth	hushp	hjsh	dhush
gi, gix	gih	gim
teen, teepn	taeen	gteen	teein
ada, akda	adau	adq	adt	adwa
taqreeban, taqreebanj	thqreeban	tacreeban	tnaqreeban	taqreebhn	taqrpeeban
bar, bdar	bkr	bsar	bnar	bvr	bmar	barj	bxr
samnay, swmnay	lsamnay	sjamnay	samnxay	samnoay
khilaaf, khpilaaf	khivlaaf	khiloaaf	khailaaf
maa, mvaa	maaq	mua	maw	nmaa
bol, bohl	bnol	bolk	kbol	boh	mbol
dard, dsrd	dyrd
chala, lhala
ahan, ahanu	ahanx	ahap	ahaw	afhan	aharn	ahayn	aahn	ahdn	ahran
kahani, kahahi	kahanni	kahabi
kia, kiq	kif	kiha
que, qub	qua	queb	qque	qkue
ir, irp	ior	zir	irq	uir	ibr	iro	wir	irw
dobarah, dyobarah	gdobarah
rakha, ranha	makha	rakhz	rawkha	jrakha	xakha	rskha
suna, suda	sunza	suvna	hsuna
da, dla	kda	vda	dax	dac
jaan, jaav	jnaan	jcan	jsan	jhaan	jzaan	mjaan
namda, nemda	namdu	naomda	namdad	jamda	namdma	namdam	najmda
kis, kgis	kib
dikhayi, dikhajyi	ldikhayi	dikrayi	deikhayi
chal, vchal	ckal
lagana, laganj	lagada	lagpana	lagang	lagcna
time, tife	timed	timef
per, zper	pegr	peqr	perq	pern	perr	pevr
aag, sag	uag
bataya, batayad	btataya	batayn	batayab	batakya	sbataya	batara
haqeeqat, haqecqat
desh, desn	desph	deshm	densh	deph	desjh
purana, pdrana	pzrana	vurana	puranx	puzana
jaisay, jwaisay	jaibsay	jaisaby	ijaisay	jaisaay	faisay	tjaisay	jaislay	jaisvay
taiz, taioz	taib	tvaiz	laiz	taizo
ndia, ndiai	ndii	ndif	nnia	noia
kirdaar, kiqdaar	kirdaahr	eirdaar
as, ajs	eas	aqs	asw	asn	zas	asb
mohabbat, mohabcbat	mohabbar	mohabbst	mohabbata	mohxabbat	mhabbat	mohabbaot
amal, axal	amasl	amkl	nmal	abmal	acal	apmal
itni, ictni	iatni	itnb	isni	itnhi	iptni	itbi	itgi
chahtay, chahtary	chzahtay	chahtiy	chgahtay	chahtai	cchahtay	chaqtay	chthtay	cohahtay
car, cgr	ckar	cajr	ocar	vcar	ctr	ecar
herat, uherat	herae	heraxt	heradt	herrt	herazt	herart	qherat
baal, lbaal	baalh	baalm	btaal	baah	babl	baahl	xaal
paaya, paoya
rhe, crhe	srhe	rhie	rjhe	rhhe	rhes
rasta, rasva	raskta	yasta	raswa	rastv	lrasta	rwasta	razta	rastaw	rasqta
kal, kawl	kalq	kalm	karl	kag	skal
aan, aarn	aac	abn
this, tthis	uthis	tvis
ay, ajy	ayg
behtareen, behtaneen	xbehtareen	behtarbeen	behtareesn	behhtareen	behtjreen	behtareyen	behtgreen
bura, bgura	gbura	bmura
aise, aiske	apise	afse	aqise	aioe	fise	faise	aisd	acse	aisp
will, wioll	wiml	wilvl	wilo	cill	wirl
paar, paaj	pnar
rokna, rpokna	mokna	robna	okna	roknr	zrokna	roknza	raokna	roknwa
shuda, shxda
shaamil, sjhaamil	shoaamil	snaamil
larki, larkhi	laurki	larkij	xarki	laroki	larkei	yarki	larkik	larii	lahki
lag, lqg	lagw	llag	llg	lfag	lacg	lbag
pathar, pathasr	patvar	patfhar	pathaar	papthar	patharu	pathak	patiar	pathare
tayyar, taybyar	taiyyar	tryyar	tayrar	tyyyar	talyyar	tayjar	tayyaa	tfyyar
tamam, tamal	tamfam	tamamn	tsmam	tagam	tamaml	tamnm	temam	tamxm	tasam
ukharna, uksharna	ukharnap	ukhaqrna	ukharja	ukharza
kahin, kahijn	kahiun	kahwn	keahin
naya, nfya	naoa	nlaya	eaya	naoya	noaya
peda, ppda
karti, kartqi	bkarti	kcrti
pareshan, paresrhan	paaeshan	pareshajn	pareshanl	iareshan
bas, bhs	baw	bavs	ybas	bdas	basn	bams	bms	vbas
jism, jisjm	jgism	jisp
khanah, kjanah	khanag	khwnah	khganah	khanad	kchanah	khanahk
maqam, maqanm	maqqm	mawam	maqkm	maqpm	maeam	maqcam	maqavm	maqaq
khobsorat, khobsorak
bacha, bccha	bacua	buacha
ahem, ahemo	ahemq	ahrm	aheam	achem	aheml	ahwm	ahnm	ahyem	ahea
achanak, achaknak	achanek	dachanak	ayhanak	achanajk	achacak	achganak	aychanak	axchanak	achaank
haalat, haalrat	haplat	haalvt	haalct	haadlat	haamat	ahaalat	haaldt
aata, aatya	aatap	aatac	aatau	aahta	aatsa	aatd
ma, maq	mqa	gma	pma
bahut, bahutk	bahlut	bahuk	bahtut
aaghaz, aagdaz	aagahaz	kaaghaz	aaghaa	caaghaz	aaghkz	aaguhaz	uaaghaz	aagrhaz
ouncha, oluncha	orncha	oumncha	ouycha
teh, nteh	tueh	txeh	tehf
ata, aqta	atf	xta
deta, dmeta	dedta	detae	detua	detat	detxa	defta	denta	qeta
jee, jene	jgee	jbe	ujee	jebe	jece
dekhnay, ddekhnay	dejkhnay
rehna, rnehna	rehnan	rehnxa	tehna	resna	rxhna	rekna	rhena	rtehna	rehjna
poora, pomra
jahan, jasan	jahaln	jahatn	jahano	jaian	jahaqn	jawhan	wjahan	jahaen
chalana, chalkana	chalxana	chalanj	chaulana
have, hyve	hzve	havqe	htve	hwave	havei	hafve	havpe
rang, ranog	ranf
sim, sip	siml	svm
harkat, hairkat	harkcat	hadrkat	hapkat	haerkat
jati, jauti	jativ
andhera, andhfera	andhedra	andhxera	andhnra	andherka	yandhera	andhtera
gya, gwa
ana, vana	gna	anua	cana	aona	auna
shehar, shehav	shqhar	lhehar	shxehar	shehae	shehfr
il, iql	xil	itl	idl
jaisa, jkisa	jahisa	jtaisa	haisa	jaisua
khoon, keoon	khooc	ihoon	kholon	ghoon	khozon	kthoon	zhoon	khoone	khoog
qareeb, qareel	qadreeb
that, fhat	thtat	tuhat	thagt	tnhat
andaaz, andaaoz	andaazr	andaadz	andaazb	aneaaz	agdaaz	andavz	andaae
chalay, chalam	qhalay	ihalay
izhaar, izhgaar	izoaar	izhaaar	izkhaar	qizhaar	ihaar	izhbar
saat, faat	sact	saatw	siat	uaat	aaat	saato
mat, mft	mvt	mlt	mnat	matc
eh, e	eeh	egh	h	ehx	ezh	aeh	ehq	xeh
jari, jarx
my, cmy	y	mfy	myv
mukammal, mukamval	mukammalg	wmukammal	mrukammal	qmukammal	mukammkal	mukaimmal
apko, apkon	napko
aisi, aaisi	aiusi	aiisi	uisi	aisqi
mout, mxout	moutw	motu	moxt	moubt
police, polifce	pxolice	poplice	polrce	polgice	ponlice	polece	polihe	pblice
kaar, kjar	kwaar	kaarz	kaaur	knaar
agla, agila	aglaa	aglab	jagla	ahgla
taq, tcq	gtaq
aha, apha	ayha
bachay, bachayd	bwachay	xbachay	jachay	bashay	gbachay	bacyay	btachay	bhchay	bathay
aitbaar, aibaar	aftbaar	aitbagr	aitbaab	maitbaar
minute, binute	oinute	fminute	minite	mipute	minutke	minutj
bemaar, bcemaar	bqemaar	jemaar	bmemaar
hay, hayb	hasy
wale, wble
waalid, waarid	waalild	waallid	waaliqd	wmaalid	wkaalid
sb, sxb
li, pli	jli	lxi	vli	lsi	lzi	lbi	liz	i	liw
bi, bsi	bpi	lbi
oh, hoh	obh	ohu	oeh	soh
angaiz, angaizw	augaiz	aungaiz	angaizi	angaimz	alngaiz	angjaiz	ajgaiz	angaiez	angaig
lafz, lafwz	lafzn	lrafz	laff	latz	lpfz	laxz	lafoz	lafzr	layfz
with, withi	xith	wfith	wwth	weith	witx	wtith	wsth
dete, dmete	diete	ndete	rete	ddete	detep	dnte	detm
ashya, ashyn
qatal, qgatal	eatal	qjtal	qatla	qatala	qaftal
ghalat, ghalta
raho, rnho	raiho	raqo
zehen, iehen	zehmen	zehben	zehpen	zewhen	zehern
jane, jmne	janre	janl	oane	jawe	janei	janes	janve
like, lkke	qike	flike	lihe	likme
ny, njy	nyh
muskurahat, muskurabhat	mruskurahat	muskruahat	musdkurahat	muskurahart	muskurcahat	muskuwahat	kuskurahat	ouskurahat	umuskurahat
mukhtalif, mukhtarlif	omukhtalif	mukhtlaif	mukhntalif	mukhtalirf	makhtalif
baqi, paqi	baqir	bacqi	baqbi	baqf	bvqi	banqi	baqc	bjqi	bagqi
halaak, halxaak	hjalaak
bola, ibola	bzla
gira, hgira
khail, khaiw	rhail	khanl	khamil
had, hcd	hxad	hfd
jad, jadn	jadl
laga, lfaga	elaga	lajga	lpga	taga	lasa	lagza	lraga
jehad, jehafd	jejhad	jevhad	jebhad	jehkad	jehak
khofnaak, khofndak	kkhofnaak	kvofnaak	kwofnaak	kgofnaak	khofuaak	khofnaauk	khuofnaak	khofinaak
udaas, udaac	udraas
not, notu
uch, ucr	uqh	ulch	uzh	juch	ulh	ucu	uvh	ufch
darakht, ddarakht	zarakht	daraktht	dardkht	dalakht
tweet, twees	tnweet	tweeit	tweek	twefet	lweet	jweet	twheet	twleet
ajeeb, vajeeb	atjeeb	gajeeb	wajeeb	ajevb	ajleeb	ajveb	ajefeb
taaqat, taaqatp	haaqat	taabat
khushi, dhushi	khuphi	khupshi	khushgi	khvshi
azeem, azeex	azekem	azebem
